"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","flesh_color_25center1_8","flesh_color_25outer1_8","flesh_color_50inner1_8","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep1_CG1141-1_2",1,2,1,2,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,34.0689562890276,NA,150,14.5833333333333,6,100,14.5833333333333,4.96838945881652,11.2,4,1,16,10,10,3,150,30,6,2,1,2,1,NA,NA,3,4990,506,0,10,1,2,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep1_CM4919-1_6",1,6,2,3,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,30.3840814992373,NA,150,10.15625,6,100,10.15625,3.08588327726629,7.8,4,1,15,8,10,3,150,30,6,3,1,3,5,NA,NA,3,5000,411,3,10,1,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep1_COL2215_10",1,10,3,2,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,3,35.127058215639,NA,30,4.81770833333333,6,100,4.81770833333333,1.69231921090969,3.7,3,1,6,8,10,4,120,30,4,3,1,2,1,NA,NA,3,3250,347,1,10,1,3,2,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep1_COL2215_7",1,7,2,2,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,3,35.1036842105263,NA,70,6.38020833333333,6,100,6.38020833333333,2.23968818530702,4.9,4,1,15,8,10,3,140,20,6,3,1,2,1,NA,NA,3,4360,465,0,10,1,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep1_GM11585-9_11",1,11,3,3,"test"," (Operator: lizbethpino, Time: )","GM11585-9","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,27.1875722543352,NA,180,3.515625,6,90,3.515625,0.955813087066472,2.7,4,1,10,10,10,2,180,30,5,1,1,3,8,NA,NA,3,2590,168,0,9,2,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep1_GM11598A-7_15",1,15,4,2,"test"," (Operator: lizbethpino, Time: )","GM11598A-7","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep1_GM11601-5_16",1,16,4,1,"test"," (Operator: lizbethpino, Time: )","GM11601-5","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,2,20.07,NA,130,1.30208333333333,6,30,1.30208333333333,0.261328125,1,3,1,1,10,10,1,240,30,1,3,1,3,8,5,NA,3,1050,25,0,3,2,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep1_GM11607-3_3",1,3,1,3,"test"," (Operator: lizbethpino, Time: )","GM11607-3","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,5,24.8285371062467,NA,40,5.98958333333333,6,80,5.98958333333333,1.48712592042623,4.6,3,1,10,10,10,3,230,30,6,3,1,3,6,NA,NA,3,3950,204,0,8,1,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep1_GM11775-6_5",1,5,2,4,"test"," (Operator: lizbethpino, Time: )","GM11775-6","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,5,25.8325355756791,NA,30,6.77083333333333,6,60,6.77083333333333,1.74907792960327,5.2,3,1,8,10,10,2,200,30,5,3,1,2,8,5,NA,3,4100,235,0,6,2,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep1_GM11781-1_19",1,19,5,3,"test"," (Operator: lizbethpino, Time: )","GM11781-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,26.7143240605173,NA,230,7.29166666666666,6,80,7.29166666666667,1.94791946274605,5.6,4,1,10,10,10,2,230,40,6,3,1,2,8,6,NA,3,4370,272,0,8,2,3,1,NA
